"","province","district","variable","value"
"7961","Môndól Kiri","Saen Monourom","NL_VIIRS.M_201512_SUM",48.5799998342991
"7962","Krong Pailin","Sala Krau","NL_VIIRS.M_201512_SUM",189.610000850633
"7963","Krâchéh","Sambour","NL_VIIRS.M_201512_SUM",479.139999497682
"7964","Kâmpóng Chhnang","Sameakki Mean Chey","NL_VIIRS.M_201512_SUM",77.6099995579571
"7965","BatdÃ¢mbÃ¢ng","Samlout","NL_VIIRS.M_201512_SUM",32.459999518469
"7966","Pouthisat","Sampov Meas","NL_VIIRS.M_201512_SUM",145.55000047572
"7967","Otdar Mean Chey","Samraong","NL_VIIRS.M_201512_SUM",218.979998711496
"7968","Takêv","Samraong","NL_VIIRS.M_201512_SUM",27.3799998387694
"7969","Kâmpóng Spœ","Samraong Tong","NL_VIIRS.M_201512_SUM",289.609999444336
"7970","Kâmpóng Thum","Sandan","NL_VIIRS.M_201512_SUM",79.8299987893552
"7971","BatdÃ¢mbÃ¢ng","Sangkae","NL_VIIRS.M_201512_SUM",119.869999816641
"7972","Preah Vihéar","Sangkom Thmei","NL_VIIRS.M_201512_SUM",11.8399997726083
"7973","Kâmpóng Thum","Santuk","NL_VIIRS.M_201512_SUM",209.270001590252
"7974","Bântéay Méanchey","Serei Saophoan","NL_VIIRS.M_201512_SUM",260.22999914363
"7975","Stœng Trêng","Sesan","NL_VIIRS.M_201512_SUM",431.169996196404
"7976","Stœng Trêng","Siem Bouk","NL_VIIRS.M_201512_SUM",6.00999991968274
"7977","Stœng Trêng","Siem Pang","NL_VIIRS.M_201512_SUM",18.9899996686727
"7978","Siemréab","Siem Reab","NL_VIIRS.M_201512_SUM",1708.56999929436
"7979","Prey Vêng","Sithor Kandal","NL_VIIRS.M_201512_SUM",16.4999998398125
"7980","Kaôh Kong","Smach Mean Chey","NL_VIIRS.M_201512_SUM",61.0400000344962
"7981","Krâchéh","Snuol","NL_VIIRS.M_201512_SUM",120.929998919368
"7982","Siemréab","Soutr Nikom","NL_VIIRS.M_201512_SUM",42.069999800995
"7983","Kaôh Kong","Srae Ambel","NL_VIIRS.M_201512_SUM",93.4399995468556
"7984","Kâmpóng Cham","Srei Santhor","NL_VIIRS.M_201512_SUM",19.9899997655302
"7985","Siemréab","Srei Snam","NL_VIIRS.M_201512_SUM",15.3299998566508
"7986","Kâmpóng Thum","Stoung","NL_VIIRS.M_201512_SUM",81.7199996635318
"7987","Krong Preah Sihanouk","Stueng hav","NL_VIIRS.M_201512_SUM",469.400001190602
"7988","Kâmpóng Thum","Stueng Saen","NL_VIIRS.M_201512_SUM",101.639999553561
"7989","Stœng Trêng","Stueng Traeng","NL_VIIRS.M_201512_SUM",70.2199999187141
"7990","Kâmpóng Cham","Stueng Trang","NL_VIIRS.M_201512_SUM",50.399999557063
"7991","Bântéay Méanchey","Svay Chek","NL_VIIRS.M_201512_SUM",166.779999447986
"7992","Svay Rieng","Svay Chrum","NL_VIIRS.M_201512_SUM",49.1899995896965
"7993","Siemréab","Svay Leu","NL_VIIRS.M_201512_SUM",103.469999754801
"7994","BatdÃ¢mbÃ¢ng","Svay Pao","NL_VIIRS.M_201512_SUM",598.329999504611
"7995","Svay Rieng","Svay Rieng","NL_VIIRS.M_201512_SUM",94.8900004234165
"7996","Svay Rieng","Svay Teab","NL_VIIRS.M_201512_SUM",111.749999560416
"7997","Kândal","Ta Khmau","NL_VIIRS.M_201512_SUM",337.519999966025
"7998","Rôtânôkiri","Ta Veaeng","NL_VIIRS.M_201512_SUM",3.91999992355705
"7999","Preah Vihéar","Tbaeng Mean chey","NL_VIIRS.M_201512_SUM",91.2899997811765
"8000","Tbong Khmum","Tboung Khmum","NL_VIIRS.M_201512_SUM",233.879999354482
"8001","Stœng Trêng","Thala Barivat","NL_VIIRS.M_201512_SUM",52.839999428019
"8002","Kaôh Kong","Thma Bang","NL_VIIRS.M_201512_SUM",79.6299990396946
"8003","Bântéay Méanchey","Thma Puok","NL_VIIRS.M_201512_SUM",48.5399993620813
"8004","Kâmpóng Spœ","Thpong","NL_VIIRS.M_201512_SUM",71.0599996428937
"8005","Takêv","Tram Kak","NL_VIIRS.M_201512_SUM",80.3599997591228
"8006","Takêv","Treang","NL_VIIRS.M_201512_SUM",18.4499998427927
"8007","Kâmpóng Chhnang","Tuek Phos","NL_VIIRS.M_201512_SUM",63.4799992442131
"8008","Siemréab","Varin","NL_VIIRS.M_201512_SUM",43.309999447316
"8009","Pouthisat","Veal Veaeng","NL_VIIRS.M_201512_SUM",163.329998217523
"8010","Rôtânôkiri","Veun Sai","NL_VIIRS.M_201512_SUM",4.68999992124736
"8011","BatdÃ¢mbÃ¢ng","Aek Phnum","NL_VIIRS.M_201601_SUM",6.81999999843539
"8012","Rôtânôkiri","Andoung Meas","NL_VIIRS.M_201601_SUM",2.67000002600253
"8013","Kândal","Angk Snuol","NL_VIIRS.M_201601_SUM",907.849999658764
"8014","Takêv","Angkor Borei","NL_VIIRS.M_201601_SUM",0.850000001490116
"8015","Kâmpôt","Angkor Chey","NL_VIIRS.M_201601_SUM",1.14999999664724
"8016","Siemréab","Angkor Chum","NL_VIIRS.M_201601_SUM",35.700000166893
"8017","Siemréab","Angkor Thum","NL_VIIRS.M_201601_SUM",0.0799999982118607
"8018","Otdar Mean Chey","Anlong Veaeng","NL_VIIRS.M_201601_SUM",154.849999196827
"8019","Kâmpóng Spœ","Aoral","NL_VIIRS.M_201601_SUM",271.310000432655
"8020","Prey Vêng","Ba Phnum","NL_VIIRS.M_201601_SUM",2.44999998621642
"8021","Pouthisat","Bakan","NL_VIIRS.M_201601_SUM",16.6700000502169
"8022","Rôtânôkiri","Ban Lung","NL_VIIRS.M_201601_SUM",98.8200007453561
"8023","BatdÃ¢mbÃ¢ng","Banan","NL_VIIRS.M_201601_SUM",1.53999998420477
"8024","Otdar Mean Chey","Banteay Ampil","NL_VIIRS.M_201601_SUM",51.9400000330061
"8025","Kâmpôt","Banteay Meas","NL_VIIRS.M_201601_SUM",29.2600002530962
"8026","Siemréab","Banteay Srei","NL_VIIRS.M_201601_SUM",5.84999999776483
"8027","Rôtânôkiri","Bar Kaev","NL_VIIRS.M_201601_SUM",5.6099999062717
"8028","Kâmpóng Thum","Baray","NL_VIIRS.M_201601_SUM",10.7199999839067
"8029","Kâmpóng Chhnang","Baribour","NL_VIIRS.M_201601_SUM",8.03999997489154
"8030","Kâmpóng Spœ","Basedth","NL_VIIRS.M_201601_SUM",4.08999999426306
"8031","BatdÃ¢mbÃ¢ng","Bat Dambang","NL_VIIRS.M_201601_SUM",18.0199999231845
"8032","Kâmpóng Cham","Batheay","NL_VIIRS.M_201601_SUM",23.0899998936802
"8033","Takêv","Bati","NL_VIIRS.M_201601_SUM",29.6499998755753
"8034","BatdÃ¢mbÃ¢ng","Bavel","NL_VIIRS.M_201601_SUM",218.149999290705
"8035","Kaôh Kong","Botum Sakor","NL_VIIRS.M_201601_SUM",134.310001516715
"8036","Takêv","Bourei Cholsar","NL_VIIRS.M_201601_SUM",7.01999999582768
"8037","Kâmpóng Cham","Chamkar Leu","NL_VIIRS.M_201601_SUM",2.79999999515712
"8038","Svay Rieng","Chantrea","NL_VIIRS.M_201601_SUM",472.449996817857
"8039","Kâmpóng Spœ","Chbar Mon","NL_VIIRS.M_201601_SUM",252.12999860011
"8040","Kâmpóng Cham","Cheung Prey","NL_VIIRS.M_201601_SUM",57.0899999793619
"8041","Preah Vihéar","Chey Saen","NL_VIIRS.M_201601_SUM",65.8800003603101
"8042","Preah Vihéar","Chhaeb","NL_VIIRS.M_201601_SUM",99.6899997927248
"8043","Krâchéh","Chhloung","NL_VIIRS.M_201601_SUM",24.6100002415478
"8044","Kâmpôt","Chhuk","NL_VIIRS.M_201601_SUM",4.58000002428889
"8045","Siemréab","Chi Kraeng","NL_VIIRS.M_201601_SUM",16.9499999284744
"8046","Preah Vihéar","Choam Khsant","NL_VIIRS.M_201601_SUM",143.169999863952
"8047","Kâmpóng Chhnang","Chol Kiri","NL_VIIRS.M_201601_SUM",0.379999989643693
"8048","Otdar Mean Chey","Chong Kal","NL_VIIRS.M_201601_SUM",32.2200000956654
"8049","Kâmpôt","Chum Kiri","NL_VIIRS.M_201601_SUM",0.820000000298023
"8050","Tbong Khmum","Dambae","NL_VIIRS.M_201601_SUM",6.89999998174608
"8051","Kâmpôt","Dang Tong","NL_VIIRS.M_201601_SUM",33.5800001118332
"8052","Phnom Penh","Dangkao","NL_VIIRS.M_201601_SUM",2237.04999985173
"8053","Takêv","Doun Kaev","NL_VIIRS.M_201601_SUM",54.5900002289563
"8054","Kep","Kaeb","NL_VIIRS.M_201601_SUM",25.7800000738353
"8055","Môndól Kiri","Kaev Seima","NL_VIIRS.M_201601_SUM",314.629998644814
"8056","Prey Vêng","Kamchay Mear","NL_VIIRS.M_201601_SUM",21.3099999912083
